Remedio,Data de Validade,Quantia Inicial,Quantia Atual,Subunidades Totais,Subunidades Restantes,Preco por Unidade,Preco por Subunidade
ACIDO TRANEXAMICO 50MG-ML 5 ML - 31-12-2024,31-12-2024,23,23,23,23,11.5,
AGUA BIDESTILADA 200AP 10ML HT - 31-03-2024,31-03-2024,10,10,10,10,0.48,
AGUA BIDESTILADA 200AP 10ML HT - 31-05-2025,31-05-2025,201,201,201,201,0.48,
AGUA PARA INJECAO 250 ML - 30-05-2025,30-05-2025,2,2,2,2,8.47,
AMIODARONA INJ 150MG 3ML IV (GEN) - 30-10-2024,30-10-2024,10,10,10,10,3,
ARAMIN 10MG-ML INJ 25AP 1ML HS - 30-03-2025,30-03-2025,19,19,19,19,6.16,
ATROPINA 0-25MG-ML 1ML 100AP ATROFARMA - 30-11-2024,30-11-2024,88,88,88,88,9.57,
BICARBONATO DE SODIO 8-4% 10 ML(S) - SAMTEC - 30-12-2024,30-12-2024,7,7,7,7,1,
BROMETO IPRATROPIO GTS 20ML (GEN) - 30-07-2025,30-07-2025,2,2,2,2,4.85,
CEFAZOLINA SODICA (FAZOLON) 1GR 20FA - 30-05-2025,30-05-2025,33,33,33,33,24.3,
CISATRACURIO BES(CIS)10MG INJ 5AP 5ML - 30-06-2025,30-06-2025,5,5,5,5,20.66,
CISATRACURIO BES(CIS)10MG INJ 5AP 5ML - 30-09-2025,30-09-2025,5,5,5,5,14.18,
CLINDAMICINA 600 MG INJ 4ML(G) - HIPOLABOR - 30-08-2024,30-08-2024,6,6,6,6,4.9,
CLORETO POTASSIO 19-1% 10ML (NKCL) - 30-12-2024,30-12-2024,8,8,8,8,0.85,
CLORETO SODIO 20% INJ 10ML - 30-10-2025,30-10-2025,98,98,98,98,0.7,
DEXAMETASONA 4MG-ML INJ 2-5ML IM-IV(G) - FARMACE - 30-01-2025,30-01-2025,46,46,46,46,7.55,
DEXMEDETOMIDINA 100MCG-ML INJ 5F 2ML - 28-02-2025,28-02-2025,28,28,28,28,18.42,
DIAZEPAM 10MG 2ML (G) C-50 AMP (B1) - 30-05-2024,30-05-2024,10,10,10,10,2.4,
DIFENIDRAMINA(DIFENIDRIN)INJ 25AP 1ML - 30-03-2025,30-03-2025,25,25,25,25,5.55,
DIPIRONA 500MG-ML INJ (2ML) IM-IV(S) - SANTISA - 30-07-2025,30-07-2025,73,73,73,73,8,
DOBUTAMINA 250 MG INJ 20 ML(G) - TEUTO - 28-02-2025,28-02-2025,4,4,4,4,11.15,
DRAMIN B6 DL 10ML EV INJ(R) - NYCOM-TAKEDA - 30-01-2025,30-01-2025,4,4,4,4,23.9,
DROPERIDOL(DROPERDAL)2-5MG 50AP 1ML *HS - 28-02-2025,28-02-2025,47,47,47,47,10.17,
EPINEFRINA 1MG 1ML INJ (ADREN) - 30-08-2024,30-08-2024,36,36,36,36,3,
ETILEFRIL 10MG-ML 1ML - 30-04-2024,30-04-2024,3,3,3,3,3.56,
ETILEFRIL 10MG-ML 1ML - 30-03-2025,30-03-2025,10,10,10,10,3.56,
ETOMIDATO 2MG-ML 10ML (HYPNOMIDATE) C1 - 30-10-2024,30-10-2024,9,9,9,9,30,
